Date,AQI,PM10,CO,NO,NO2,O3,SO2,PM2_5,NH3,City,Latitude,Longitude
2021-06-30,1,5.255416667,166.12625,0.196666667,6.547916667,66.60875,1.592083333,2.859166667,0.700416667,Amsterdam,52.3727598,4.8936041
2021-07-05,1,5.909166667,178.57625,0.94375,16.51291667,35.9225,2.180416667,4.333333333,1.720833333,Amsterdam,52.3727598,4.8936041
2021-07-23,1,2.944583333,207.22625,0.444166667,8.008333333,60.35083333,0.761666667,1.560416667,2.22375,Amsterdam,52.3727598,4.8936041
2021-07-30,1,6.52875,216.4741667,1.1675,14.76916667,43.57083333,2.68375,4.18,1.77875,Amsterdam,52.3727598,4.8936041
2021-07-31,1,5.849583333,223.63625,0.329166667,6.902083333,63.10583333,1.749166667,3.850416667,0.633333333,Amsterdam,52.3727598,4.8936041
2021-08-01,1,4.546666667,213.7616667,0.34375,7.95125,51.11208333,1.679166667,2.80125,1.177916667,Amsterdam,52.3727598,4.8936041
2021-08-02,1,5.695416667,235.6658333,4.528333333,13.15833333,40.50791667,1.59625,3.04125,3.382916667,Amsterdam,52.3727598,4.8936041
2021-08-03,1,3.649583333,243.1091667,3.449166667,13.53583333,41.85833333,0.825416667,2.19,3.1425,Amsterdam,52.3727598,4.8936041
2021-08-06,1,8.087083333,238.37875,1.205,10.26791667,50.11333333,2.386666667,5.30375,1.169583333,Amsterdam,52.3727598,4.8936041
2021-08-07,1,5.187083333,241.9958333,0.8775,11.635,43.92916667,2.1275,3.965,1.620416667,Amsterdam,52.3727598,4.8936041
2021-08-08,1,6.72125,228.2245833,0.3025,6.729583333,47.72916667,2.29625,4.993333333,0.515,Amsterdam,52.3727598,4.8936041
2021-08-09,1,7.17625,235.1795833,0.697916667,11.50041667,48.39916667,2.823333333,5.566666667,0.86375,Amsterdam,52.3727598,4.8936041
2021-08-16,1,8.445,252.42625,0.229583333,4.824166667,64.38833333,1.649166667,3.03875,0.52625,Amsterdam,52.3727598,4.8936041
2021-08-17,1,4.676666667,270.5066667,0.187916667,8.875,57.59416667,1.963333333,2.643333333,0.778333333,Amsterdam,52.3727598,4.8936041
2021-08-18,1,6.31,284.13625,0.46875,7.794583333,54.82208333,1.948333333,3.429166667,1.122083333,Amsterdam,52.3727598,4.8936041
2021-08-19,1,6.02125,297.9058333,0.254583333,11.69958333,45.52291667,2.745833333,3.751666667,0.945416667,Amsterdam,52.3727598,4.8936041
2021-08-25,1,7.043333333,266.0554167,0.759583333,8.648333333,53.63041667,1.087083333,4.100833333,1.730833333,Amsterdam,52.3727598,4.8936041
2021-08-26,1,7.669166667,283.8591667,0.26875,4.95125,65.2675,1.007083333,2.804166667,1.518333333,Amsterdam,52.3727598,4.8936041
2021-08-28,1,7.177916667,295.4004167,0.298333333,4.130833333,52.83916667,0.832083333,3.506666667,1.422916667,Amsterdam,52.3727598,4.8936041
2021-11-30,1,3.871666667,247.41875,0.021666667,11.87791667,51.43875,2.287083333,2.15625,0.265416667,Amsterdam,52.3727598,4.8936041
2021-12-04,1,4.553333333,303.1895833,3.65375,23.88333333,27.58958333,2.242916667,3.6775,0.747083333,Amsterdam,52.3727598,4.8936041
2021-12-08,1,3.951666667,292.20125,0.447083333,23.67625,39.6825,3.0625,2.654583333,0.885416667,Amsterdam,52.3727598,4.8936041
2022-02-16,1,4.7675,242.1345833,0.122083333,8.44375,59.9625,1.851666667,3.055833333,0.569583333,Amsterdam,52.3727598,4.8936041
2022-02-17,1,3.655833333,251.4525,0.235833333,7.364166667,66.8175,1.556666667,1.374583333,1.596666667,Amsterdam,52.3727598,4.8936041
2022-02-19,1,2.431428571,255.7452381,0.112857143,7.543809524,65.7347619,1.492857143,0.865238095,1.14952381,Amsterdam,52.3727598,4.8936041
2022-02-20,1,4.48,245.8866667,0,3.1,73.91,0.99,1.19,0.95,Amsterdam,52.3727598,4.8936041
2022-02-21,1,6.015833333,253.81625,0.052083333,4.365416667,67.205,1.030416667,1.615416667,0.690833333,Amsterdam,52.3727598,4.8936041
2022-02-22,1,6.95875,268.1425,0.3025,15.80416667,56.9975,2.792916667,4.1425,1.222083333,Amsterdam,52.3727598,4.8936041
2022-02-25,1,4.418333333,270.6441667,0.290416667,14.01708333,57.96583333,1.690833333,1.611666667,2.344583333,Amsterdam,52.3727598,4.8936041
2022-04-05,1,4.977916667,237.1279167,0.28375,13.28458333,57.14583333,2.70875,3.050833333,1.302916667,Amsterdam,52.3727598,4.8936041
2022-05-25,1,6.800416667,207.36375,0.70125,10.55791667,62.43666667,2.8625,4.178333333,0.56,Amsterdam,52.3727598,4.8936041
2022-05-29,1,4.779583333,203.40125,0.144166667,4.92875,69.67916667,1.549166667,1.958333333,1.10375,Amsterdam,52.3727598,4.8936041
2022-05-30,1,3.78625,215.8483333,0.690416667,16.22875,54.39708333,2.344166667,2.0375,1.515416667,Amsterdam,52.3727598,4.8936041
2022-06-06,1,4.7,187.8929167,0.33125,7.33125,67.56208333,2.180416667,3.295833333,0.37875,Amsterdam,52.3727598,4.8936041
2022-06-10,1,7.096666667,192.69125,0.7625,11.87,57.53291667,2.464583333,4.677916667,1.055,Amsterdam,52.3727598,4.8936041
2022-06-20,1,7.369583333,180.0358333,1.054583333,9.362083333,45.5425,1.279166667,3.732916667,1.995416667,Amsterdam,52.3727598,4.8936041
2022-06-25,1,5.089166667,187.05875,0.647916667,14.35125,45.42708333,2.403333333,3.83875,1.800416667,Amsterdam,52.3727598,4.8936041
2022-06-26,1,3.836666667,192.76125,0.698333333,19.29958333,38.12208333,2.374583333,2.871666667,2.769166667,Amsterdam,52.3727598,4.8936041
2022-07-07,1,10.07041667,161.4695833,0.256666667,3.850416667,57.60833333,1.457083333,3.232083333,0.729583333,Amsterdam,52.3727598,4.8936041
2022-07-09,1,7.775,163.2766667,0.249583333,4.868333333,58.38291667,1.48,3.548333333,0.94375,Amsterdam,52.3727598,4.8936041
2022-07-16,1,6.535416667,164.8783333,0.53125,8.2875,51.41666667,1.182083333,2.690416667,2.882916667,Amsterdam,52.3727598,4.8936041
2022-07-21,1,7.41,166.89,0,4.2,51.5,1.245,2.035,1.605,Amsterdam,52.3727598,4.8936041
2022-07-22,1,4.4275,170.6479167,0.600416667,9.032083333,51.30458333,1.279166667,1.670833333,2.247916667,Amsterdam,52.3727598,4.8936041
2022-07-26,1,5.5725,172.52375,0.272083333,5.452083333,57.90541667,1.418333333,2.11,1.10875,Amsterdam,52.3727598,4.8936041
2022-07-27,1,3.052916667,171.3429167,0.493333333,6.84,57.01083333,0.90125,1.10125,1.884583333,Amsterdam,52.3727598,4.8936041
2022-07-31,1,6.7225,198.8804167,0.28625,9.432083333,53.73375,2.254166667,4.615833333,0.778333333,Amsterdam,52.3727598,4.8936041
